state,latitude,longitude,name
AK,63.588752746582031,-154.49305725097656,Alaska
AL,32.318229675292969,-86.902297973632813,Alabama
AR,35.2010498046875,-91.831832885742188,Arkansas
AZ,34.048927307128906,-111.09373474121094,Arizona
CA,36.77825927734375,-119.41793060302734,California
CO,39.550052642822266,-105.78206634521484,Colorado
CT,41.603221893310547,-73.087745666503906,Connecticut
DC,38.905986785888672,-77.033416748046875,District of Columbia
DE,38.910831451416016,-75.527671813964844,Delaware
FL,27.664827346801758,-81.515754699707031,Florida
GA,32.157436370849609,-82.907119750976563,Georgia
HI,19.898681640625,-155.66586303710938,Hawaii
IA,41.878002166748047,-93.097702026367188,Iowa
ID,44.068202972412109,-114.74204254150391,Idaho
IL,40.633125305175781,-89.398529052734375,Illinois
IN,40.551216125488281,-85.602363586425781,Indiana
KS,39.01190185546875,-98.484245300292969,Kansas
KY,37.839332580566406,-84.27001953125,Kentucky
LA,31.244823455810547,-92.145027160644531,Louisiana
MA,42.407211303710938,-71.382438659667969,Massachusetts
MD,39.045753479003906,-76.641273498535156,Maryland
ME,45.2537841796875,-69.445472717285156,Maine
MI,44.314842224121094,-85.602363586425781,Michigan
MN,46.72955322265625,-94.685897827148438,Minnesota
MO,37.964252471923828,-91.831832885742188,Missouri
MS,32.354667663574219,-89.398529052734375,Mississippi
MT,46.879680633544922,-110.36256408691406,Montana
NC,35.759574890136719,-79.019302368164063,North Carolina
ND,47.551494598388672,-101.00201416015625,North Dakota
NE,41.492538452148438,-99.901809692382813,Nebraska
NH,43.193851470947266,-71.572395324707031,New Hampshire
NJ,40.058322906494141,-74.405662536621094,New Jersey
NM,34.972728729248047,-105.03236389160156,New Mexico
NV,38.802608489990234,-116.41938781738281,Nevada
NY,43.299427032470703,-74.217933654785156,New York
OH,40.417285919189453,-82.907119750976563,Ohio
OK,35.00775146484375,-97.092880249023438,Oklahoma
OR,43.804134368896484,-120.55419921875,Oregon
PA,41.203323364257813,-77.194526672363281,Pennsylvania
PR,18.220832824707031,-66.59014892578125,Puerto Rico
RI,41.580093383789063,-71.477432250976563,Rhode Island
SC,33.836082458496094,-81.163726806640625,South Carolina
SD,43.969516754150391,-99.901809692382813,South Dakota
TN,35.517490386962891,-86.5804443359375,Tennessee
TX,31.968599319458008,-99.901809692382813,Texas
UT,39.320980072021484,-111.09373474121094,Utah
VA,37.431571960449219,-78.656890869140625,Virginia
VT,44.558803558349609,-72.577842712402344,Vermont
WA,47.751075744628906,-120.74013519287109,Washington
WI,43.784439086914063,-88.787864685058594,Wisconsin
WV,38.597625732421875,-80.454902648925781,West Virginia
WY,43.075969696044922,-107.290283203125,Wyoming
